time x1 y1 x2 y2
1.479999999999999982e+00 3.289910687758121899e-01 -2.275189589149635150e-01 6.628180476160872026e-01 -7.156647712765112912e-03
1.481000000000000094e+00 3.229903053167290650e-01 -2.359602989305746856e-01 6.592920045686361252e-01 -1.939352613225286959e-02
1.481999999999999984e+00 3.165637114930306417e-01 -2.445146551144885549e-01 6.545583010987655603e-01 -3.059958459057510183e-02
1.483000000000000096e+00 3.097241438227613664e-01 -2.531224105709674599e-01 6.486296397169180050e-01 -4.065343671187474084e-02
1.483999999999999986e+00 3.024780615579703014e-01 -2.617384615912089485e-01 6.414938065294979452e-01 -4.944544554640328826e-02
1.485000000000000098e+00 2.948213582970577451e-01 -2.703338060470386051e-01 6.331055454874948696e-01 -5.687699847954655330e-02
1.485999999999999988e+00 2.867335980369011827e-01 -2.788975506468509558e-01 6.233758655244940883e-01 -6.286055441515919773e-02
1.487000000000000099e+00 2.781702117268591290e-01 -2.874392689035970561e-01 6.121580704685418706e-01 -6.732086846159451854e-02
1.487999999999999989e+00 2.690521405256396936e-01 -2.959914621717515959e-01 5.992298716701718320e-01 -7.019804805998200448e-02
1.489000000000000101e+00 2.592524920938433231e-01 -3.046114662042972432e-01 5.842714077233287506e-01 -7.145335572337607744e-02
1.489999999999999991e+00 2.485802956992148871e-01 -3.133812958523385372e-01 5.668403826635517451e-01 -7.107876378663202654e-02
1.491000000000000103e+00 2.367630049313261265e-01 -3.224023565296768590e-01 5.463488069398898528e-01 -6.911076331206855716e-02
1.491999999999999993e+00 2.234330250021814290e-01 -3.317795704053740913e-01 5.220523803467962409e-01 -6.564712102430614316e-02
1.493000000000000105e+00 2.081302737835045991e-01 -3.415871618413131028e-01 4.930743488110110873e-01 -6.086154116033787309e-02
1.493999999999999995e+00 1.903415413546910018e-01 -3.518097463611837838e-01 4.584977779859421565e-01 -5.500638931183293723e-02
1.495000000000000107e+00 1.695997904035457526e-01 -3.622649735967767848e-01 4.175591772389192768e-01 -4.839216101144694360e-02
1.495999999999999996e+00 1.456430388283806721e-01 -3.725427562587075858e-01 3.699314586949846717e-01 -4.134084697414142084e-02
1.497000000000000108e+00 1.185707121098122790e-01 -3.820222326380652289e-01 3.159784795232056798e-01 -3.412832156047879151e-02
1.497999999999999998e+00 8.888159520053952323e-02 -3.900000795315399227e-01 2.567793376524115656e-01 -2.694313072107457074e-02
1.499000000000000110e+00 5.733076378347067709e-02 -3.958701599312632324e-01 1.938275177994142062e-01 -1.987995242166462617e-02
1.500000000000000000e+00 2.469288372297745449e-02 -3.992370993450427563e-01 1.285799281078690570e-01 -1.296325605640952228e-02
1.501000000000000112e+00 -8.410152846379338742e-03 -3.999115768880672772e-01 6.214600468114801074e-02 -6.183461769333653546e-03
1.502000000000000002e+00 -4.154285022544874917e-02 -3.978368906915822345e-01 -4.755664771783248146e-03 4.678958556015855308e-04
1.503000000000000114e+00 -7.438283874028600584e-02 -3.930231460117032949e-01 -7.163886849248153610e-02 6.967442161667614098e-03
1.504000000000000004e+00 -1.066040449243442351e-01 -3.855328489321868668e-01 -1.380052152418737577e-01 1.323270437287171752e-02
1.505000000000000115e+00 -1.377690547350162165e-01 -3.755258813416462171e-01 -2.031051336010506470e-01 1.910204062841835970e-02
1.506000000000000005e+00 -1.672814744393099629e-01 -3.633413110415749103e-01 -2.657979994214909047e-01 2.433702766905682102e-02
1.507000000000000117e+00 -1.944499916721588451e-01 -3.495557190759398525e-01 -3.246251552248570205e-01 2.866964600951854569e-02
1.508000000000000007e+00 -2.186690862113085387e-01 -3.349385477001883271e-01 -3.781415933095468862e-01 3.189727317858348510e-02
1.509000000000000119e+00 -2.396201513341985889e-01 -3.202845345541613931e-01 -4.253512630062651900e-01 3.398083795218215242e-02
1.510000000000000009e+00 -2.573535288791533038e-01 -3.062175063144607634e-01 -4.659607710314049855e-01 3.507857998251373566e-02
1.511000000000000121e+00 -2.722108463278745116e-01 -2.930891590309376848e-01 -5.003179846704619571e-01 3.549436678427364544e-02
1.512000000000000011e+00 -2.846717089558289393e-01 -2.810018115958825002e-01 -5.291571923766144048e-01 3.558443004532474419e-02
1.513000000000000123e+00 -2.952231250846856780e-01 -2.698949914600713984e-01 -5.533412251479974397e-01 3.567831630699486167e-02
1.514000000000000012e+00 -3.042887158253664848e-01 -2.596312335242995650e-01 -5.736949235433013161e-01 3.603799930698603493e-02
1.515000000000000124e+00 -3.122068182113337809e-01 -2.500537995359302657e-01 -5.909296647960899929e-01 3.684962461876761797e-02
1.516000000000000014e+00 -3.192348629005834493e-01 -2.410168091831889903e-01 -6.056254796437099408e-01 3.823292607450415326e-02
1.517000000000000126e+00 -3.255634455752682843e-01 -2.323971663019136769e-01 -6.182408315157654766e-01 4.025636431714366137e-02
1.518000000000000016e+00 -3.313315918338691213e-01 -2.240968010767542540e-01 -6.291320637627321188e-01 4.295165692094041199e-02
1.519000000000000128e+00 -3.366399364817135864e-01 -2.160406285067414389e-01 -6.385738064101558198e-01 4.632541005395812705e-02
1.520000000000000018e+00 -3.415610760466659124e-01 -2.081730802237496403e-01 -6.467769198379204054e-01 5.036761038179615735e-02
1.521000000000000130e+00 -3.461473417582426326e-01 -2.004545279950103454e-01 -6.539030934640563952e-01 5.505750164741080033e-02
1.522000000000000020e+00 -3.504365101543092109e-01 -1.928581145580054723e-01 -6.600762689302330788e-01 6.036751563212297556e-02
1.523000000000000131e+00 -3.544559588186675936e-01 -1.853671310074659628e-01 -6.653914000118705818e-01 6.626583863281834685e-02
1.524000000000000021e+00 -3.582256814528416711e-01 -1.779729225125194492e-01 -6.699211028180556138e-01 7.271805119806662443e-02
1.525000000000000133e+00 -3.617604755614711176e-01 -1.706732501639852129e-01 -6.737206817991161500e-01 7.968814806698415465e-02
1.526000000000000023e+00 -3.650715314725845317e-01 -1.634710277335459649e-01 -6.768319226297938584e-01 8.713914465676989018e-02
1.527000000000000135e+00 -3.681675870740128698e-01 -1.563733603530318428e-01 -6.792859541908830012e-01 9.503340495477058392e-02
1.528000000000000025e+00 -3.710557657830289569e-01 -1.493908252844530493e-01 -6.811054083636245426e-01 1.033327769683736463e-01
1.529000000000000137e+00 -3.737421817775778976e-01 -1.425369480525520982e-01 -6.823060489751151536e-01 1.119985894664762005e-01
1.530000000000000027e+00 -3.762323727075039259e-01 -1.358278385563204960e-01 -6.828979977230936749e-01 1.209915423980726101e-01
1.531000000000000139e+00 -3.785316030965362177e-01 -1.292819610663700214e-01 -6.828866523531522681e-01 1.302715093246128997e-01
